DATE,DEXUSUK
19-09-2013,1.6043
20-09-2013,1.6021
23-09-2013,1.6066
24-09-2013,1.6006
25-09-2013,1.608
26-09-2013,1.6012
27-09-2013,1.6135
30-09-2013,1.6179
01-10-2013,1.6208
02-10-2013,1.6224
03-10-2013,1.6169
04-10-2013,1.6069
07-10-2013,1.6082
08-10-2013,1.6089
09-10-2013,1.5943
10-10-2013,1.5975
11-10-2013,1.5945
14-10-2013,.
15-10-2013,1.5974
16-10-2013,1.5904
17-10-2013,1.6166
18-10-2013,1.6184
21-10-2013,1.6149
22-10-2013,1.6221
23-10-2013,1.6171
24-10-2013,1.6186
25-10-2013,1.6158
28-10-2013,1.6131
29-10-2013,1.6059
30-10-2013,1.6078
31-10-2013,1.6068
01-11-2013,1.5922
04-11-2013,1.595
05-11-2013,1.6044
06-11-2013,1.608
07-11-2013,1.6069
08-11-2013,1.5995
11-11-2013,.
12-11-2013,1.5916
13-11-2013,1.6033
14-11-2013,1.6077
15-11-2013,1.6107
18-11-2013,1.611
19-11-2013,1.611
20-11-2013,1.615
21-11-2013,1.6155
22-11-2013,1.6211
25-11-2013,1.6146
26-11-2013,1.6187
27-11-2013,1.6267
28-11-2013,.
29-11-2013,1.6373
02-12-2013,1.6365
03-12-2013,1.6416
04-12-2013,1.6352
05-12-2013,1.6328
06-12-2013,1.6327
09-12-2013,1.6403
10-12-2013,1.6424
11-12-2013,1.6389
12-12-2013,1.6326
13-12-2013,1.6294
16-12-2013,1.6311
17-12-2013,1.6254
18-12-2013,1.6388
19-12-2013,1.6382
20-12-2013,1.6355
23-12-2013,1.6356
24-12-2013,1.6371
25-12-2013,.
26-12-2013,1.6425
27-12-2013,1.6491
30-12-2013,1.6522
31-12-2013,1.6574
01-01-2014,.
02-01-2014,1.6441
03-01-2014,1.6424
06-01-2014,1.6412
07-01-2014,1.6421
08-01-2014,1.6461
09-01-2014,1.6459
10-01-2014,1.647
13-01-2014,1.6379
14-01-2014,1.645
15-01-2014,1.6375
16-01-2014,1.6335
17-01-2014,1.6429
20-01-2014,.
21-01-2014,1.6469
22-01-2014,1.6571
23-01-2014,1.6612
24-01-2014,1.6491
27-01-2014,1.6588
28-01-2014,1.6581
29-01-2014,1.6561
30-01-2014,1.6487
31-01-2014,1.645
03-02-2014,1.6307
04-02-2014,1.63
05-02-2014,1.6308
06-02-2014,1.6345
07-02-2014,1.6395
10-02-2014,1.6419
11-02-2014,1.6468
12-02-2014,1.6578
13-02-2014,1.6643
14-02-2014,1.6736
17-02-2014,.
18-02-2014,1.6696
19-02-2014,1.6718
20-02-2014,1.664
21-02-2014,1.663
24-02-2014,1.6641
25-02-2014,1.6696
26-02-2014,1.6648
27-02-2014,1.6693
28-02-2014,1.675
03-03-2014,1.6712
04-03-2014,1.6665
05-03-2014,1.6729
06-03-2014,1.6743
07-03-2014,1.6725
10-03-2014,1.6633
11-03-2014,1.6628
12-03-2014,1.6605
13-03-2014,1.6677
14-03-2014,1.663
17-03-2014,1.6645
18-03-2014,1.6574
19-03-2014,1.6629
20-03-2014,1.6511
21-03-2014,1.6498
24-03-2014,1.6491
25-03-2014,1.6507
26-03-2014,1.6566
27-03-2014,1.6627
28-03-2014,1.6637
31-03-2014,1.6675
01-04-2014,1.6639
02-04-2014,1.6634
03-04-2014,1.6583
04-04-2014,1.6594
07-04-2014,1.6616
08-04-2014,1.6743
09-04-2014,1.6751
10-04-2014,1.6781
11-04-2014,1.6736
14-04-2014,1.6741
15-04-2014,1.6725
16-04-2014,1.6794
17-04-2014,1.6809
18-04-2014,1.6792
21-04-2014,1.6792
